#id,time,latitude [deg],latitude_uncertainty [km],longitude [deg],longitude_uncertainty [km],depth[m],depth_uncertainty [m],magnitude,magnitude_type,mode,event_type
20230123_111635_256,2023/01/22 02:51:40,18.840,4.611,-74.083,2.832,4325.28,4900.52,2.12,M,manual,earthquake
s2rhai2023bmpc,2023/01/22 02:48:05,18.833,2.145,-74.101,1.799,2853.56,2096.70,2.96,M,manual,earthquake
20230123_112133_029,2023/01/22 01:23:27,18.808,4.263,-74.082,3.113,7357.40,5063.54,2.18,M,manual,earthquake
s2rhai2023bmfg,2023/01/21 21:49:16,18.476,3.949,-73.601,1.647,14053.15,3439.09,2.69,M,manual,earthquake
20230123_113032_407,2023/01/21 05:53:21,18.642,5.083,-74.244,4.768,13075.09,2896.71,1.95,M,manual,earthquake
s2rhai2023bjjw,2023/01/20 08:44:13,18.553,2.718,-73.644,2.029,1810.77,2303.13,2.35,M,manual,earthquake
20230120_152315_507,2023/01/20 06:54:57,18.751,5.443,-74.101,2.949,14433.15,5079.75,2.50,M,manual,earthquake
20230120_133937_785,2023/01/20 04:50:02,19.101,5.451,-72.842,6.956,93178.32,16609.03,1.94,M,manual,earthquake
20230120_133217_991,2023/01/20 04:43:33,18.439,9.868,-74.260,11.498,141171.16,12181.22,2.29,M,manual,earthquake
20230120_144209_113,2023/01/20 03:33:39,18.698,5.460,-74.129,3.637,20808.20,5252.86,2.36,M,manual,earthquake
20230120_135828_146,2023/01/20 02:24:28,18.854,4.821,-74.039,3.521,24.57,5824.21,1.94,MLv,manual,earthquake
s2rhai2023biiy,2023/01/19 19:08:04,18.454,2.691,-73.594,1.514,9184.96,1946.36,2.80,M,manual,earthquake
20230120_150045_124,2023/01/19 19:03:10,19.879,4.054,-72.378,3.734,11023.41,3439.26,2.28,M,manual,earthquake
20230120_145510_047,2023/01/19 19:00:50,20.061,7.588,-72.270,5.021,344.37,3588.74,2.40,M,manual,earthquake
20230119_110816_350,2023/01/19 09:50:51,18.887,2.181,-74.065,2.381,0.00,NULL,2.41,M,manual,earthquake
20230120_063241_661,2023/01/19 09:16:52,18.309,4.469,-72.071,2.958,23848.16,4882.35,1.64,M,manual,earthquake
s2rhai2023bhpf,2023/01/19 09:10:49,18.463,2.709,-73.592,1.838,8847.91,2294.82,2.66,M,manual,earthquake
s2rhai2023bhez,2023/01/19 04:00:31,18.817,3.371,-74.115,2.500,5324.40,3873.77,2.75,M,manual,earthquake
s2rhai2023bgdv,2023/01/18 14:17:38,18.763,6.274,-74.032,6.502,17157.57,8989.58,2.74,M,manual,earthquake
s2rhai2023bgbx,2023/01/18 13:19:38,19.525,2.086,-73.535,1.475,20106.12,5851.33,2.84,M,manual,earthquake
20230119_112229_064,2023/01/18 13:18:39,18.764,6.805,-74.070,6.104,14691.87,9395.93,2.19,M,manual,earthquake
s2rhai2023bgbg,2023/01/18 12:58:43,18.828,2.470,-74.060,2.134,4272.44,2661.21,3.30,M,manual,earthquake
20230119_055338_066,2023/01/18 12:08:02,18.406,2.076,-72.531,1.410,9240.40,2097.70,2.29,M,manual,earthquake
s2rhai2023bflg,2023/01/18 04:54:10,18.803,3.385,-74.110,2.448,6663.91,3799.90,2.61,M,manual,earthquake
20230118_060507_591,2023/01/18 01:59:53,18.834,2.613,-74.089,2.041,3038.87,2828.49,2.74,M,manual,earthquake
20230118_055955_798,2023/01/18 00:08:10,18.748,4.575,-74.158,3.506,13690.74,4295.36,2.27,M,manual,earthquake